engine,variant,scenario,scale_rows,run_idx,time_ms,output_rows,output_bytes,physical_size,compression_ratio
splayed,4t,R5,10000000,2,7.70,99000,3168000,2700621125,0.6889
splayed,4t,R6,10000000,0,4.06,1,8,2700621125,0.6889
splayed,4t,R6,10000000,1,4.08,1,8,2700621125,0.6889
splayed,4t,R6,10000000,2,4.12,1,8,2700621125,0.6889
parquet,1t,W1,10000000,0,59350.93,10000000,3920000000,2815424650,0.7182
parquet,1t,R1,10000000,0,11039.88,10000000,3920000000,2815424650,0.7182
parquet,1t,R1,10000000,1,10986.87,10000000,3920000000,2815424650,0.7182
parquet,1t,R1,10000000,2,11098.17,10000000,3920000000,2815424650,0.7182
parquet,1t,R2,10000000,0,135.78,10000000,80000000,2815424650,0.7182
parquet,1t,R2,10000000,1,135.68,10000000,80000000,2815424650,0.7182
parquet,1t,R2,10000000,2,135.51,10000000,80000000,2815424650,0.7182
parquet,1t,R3,10000000,0,427.87,990,31680,2815424650,0.7182
parquet,1t,R3,10000000,1,431.42,990,31680,2815424650,0.7182
parquet,1t,R3,10000000,2,430.62,990,31680,2815424650,0.7182
parquet,1t,R4,10000000,0,964.69,100000,3200000,2815424650,0.7182
parquet,1t,R4,10000000,1,989.30,100000,3200000,2815424650,0.7182
parquet,1t,R4,10000000,2,965.26,100000,3200000,2815424650,0.7182
parquet,1t,R5,10000000,0,114.24,99000,3168000,2815424650,0.7182
parquet,1t,R5,10000000,1,113.23,99000,3168000,2815424650,0.7182
parquet,1t,R5,10000000,2,112.17,99000,3168000,2815424650,0.7182
parquet,1t,R6,10000000,0,383.30,1,8,2815424650,0.7182
parquet,1t,R6,10000000,1,385.79,1,8,2815424650,0.7182
parquet,1t,R6,10000000,2,413.96,1,8,2815424650,0.7182
splayed,1t,W1,20000000,0,144651.38,20000000,7840000000,5399801099,0.6888
splayed,1t,R1,20000000,0,141.58,20000000,7840000000,5399801099,0.6888
splayed,1t,R1,20000000,1,143.62,20000000,7840000000,5399801099,0.6888
splayed,1t,R1,20000000,2,142.81,20000000,7840000000,5399801099,0.6888
splayed,1t,R2,20000000,0,13.16,20000000,160000000,5399801099,0.6888
